제목,편수,본문_번체,본문_간체,시체,길이(자수)
遊龍門奉先寺 ,제1수,已從招提遊,已从招提游,5언율시,5
遊龍門奉先寺 ,제1수,更宿招提境,更宿招提境,5언율시,5
遊龍門奉先寺 ,제1수,陰壑生虛籟,阴壑生虚籁,5언율시,5
遊龍門奉先寺 ,제1수,月林散淸影,月林散淸影,5언율시,5
遊龍門奉先寺 ,제1수,天闕象緯逼,天阙象纬逼,5언율시,5
遊龍門奉先寺 ,제1수,雲臥衣裳冷,云卧衣裳冷,5언율시,5
遊龍門奉先寺 ,제1수,欲覺聞晨鐘,欲觉闻晨鐘,5언율시,5
遊龍門奉先寺 ,제1수,令人發深省,令人发深省,5언율시,5
望嶽 ,제1수,岱宗夫如何,岱宗夫如何,5언율시,5
望嶽 ,제1수,齊魯靑未了,齐魯靑未了,5언율시,5
望嶽 ,제1수,造化鍾神秀,造化锺神秀,5언율시,5
望嶽 ,제1수,陰陽割昏曉,阴阳割昏晓,5언율시,5
望嶽 ,제1수,盪胸生曾雲,盪胸生曾云,5언율시,5
望嶽 ,제1수,決眥入歸鳥,决眦入归鸟,5언율시,5
望嶽 ,제1수,會當凌絶頂,会当凌絶顶,5언율시,5
望嶽 ,제1수,一覽衆山小,一览衆山小,5언율시,5
登兗州城樓 ,제1수,東郡趨庭日,东郡趋庭日,5언율시,5
登兗州城樓 ,제1수,南樓縱目初,南樓纵目初,5언율시,5
登兗州城樓 ,제1수,浮雲連海岱,浮云连海岱,5언율시,5
登兗州城樓 ,제1수,平野入靑徐,平野入靑徐,5언율시,5
登兗州城樓 ,제1수,孤嶂秦碑在,孤嶂秦碑在,5언율시,5
登兗州城樓 ,제1수,荒城魯殿餘,荒城魯殿馀,5언율시,5
登兗州城樓 ,제1수,從來多古意,从來多古意,5언율시,5
登兗州城樓 ,제1수,臨眺獨躊躇,临眺独踌躇,5언율시,5
題張氏隱居 二首 ,제1수,春山無伴獨相求,春山无伴独相求,7언율시,7
題張氏隱居 二首 ,제1수,代木丁丁山更幽,代木丁丁山更幽,7언율시,7
題張氏隱居 二首 ,제1수,澗道餘寒歷冰雪,涧道馀寒歷冰雪,7언율시,7
題張氏隱居 二首 ,제1수,石門斜日到林丘,石门斜日到林丘,7언율시,7
題張氏隱居 二首 ,제1수,不貪夜識金銀氣,不贪夜识金银气,7언율시,7
題張氏隱居 二首 ,제1수,遠害朝看麋鹿遊,远害朝看麋鹿游,7언율시,7
題張氏隱居 二首 ,제1수,乘興杳然迷出處,乘兴杳然迷出处,7언율시,7
題張氏隱居 二首 ,제1수,對君疑是泛虛舟,对君疑是泛虚舟,7언율시,7
題張氏隱居 二首 ,제2수,之子時相見,之子时相见,5언율시,5
題張氏隱居 二首 ,제2수,邀人晩興留,邀人晩兴留,5언율시,5
題張氏隱居 二首 ,제2수,霽潭鱣發發,霁潭鳣发发,5언율시,5
題張氏隱居 二首 ,제2수,春草鹿呦呦,春草鹿呦呦,5언율시,5
題張氏隱居 二首 ,제2수,杜酒偏勞勸,杜酒偏勞劝,5언율시,5
題張氏隱居 二首 ,제2수,張梨不外求,张梨不外求,5언율시,5
題張氏隱居 二首 ,제2수,前邨山路險,前邨山路险,5언율시,5
題張氏隱居 二首 ,제2수,歸醉每無愁,归醉每无愁,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,秋水淸無底,秋水淸无底,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,蕭然淨客心,萧然净客心,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,掾曹乘逸興,掾曹乘逸兴,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,鞍馬到荒林,鞍马到荒林,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,能吏逢聯璧,能吏逢联璧,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,華筵直一金,华筵直一金,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,晩來橫吹好,晩來横吹好,5언율시,5
劉九法曹鄭瑕丘石門宴集 ,제1수,泓下亦龍吟,泓下亦龙吟,5언율시,5
與任城許主簿遊南池 ,제1수,秋水通溝洫,秋水通沟洫,5언율시,5
與任城許主簿遊南池 ,제1수,城隅進小船,城隅进小船,5언율시,5
與任城許主簿遊南池 ,제1수,晩涼看洗馬,晩凉看洗马,5언율시,5
與任城許主簿遊南池 ,제1수,森木亂鳴蟬,森木亂鸣蝉,5언율시,5
與任城許主簿遊南池 ,제1수,菱熟經時雨,菱熟经时雨,5언율시,5
與任城許主簿遊南池 ,제1수,蒲荒八月天,蒲荒八月天,5언율시,5
與任城許主簿遊南池 ,제1수,晨朝降白露,晨朝降白露,5언율시,5
與任城許主簿遊南池 ,제1수,遙憶舊靑氈,遥忆旧靑毡,5언율시,5
對雨書懷走滸許主簿 ,제1수,東嶽雲峰起,东岳云峰起,5언율시,5
